project,month,automated,tobeautomated,defects,testexecution,monthnum
GridForce,June,0,0,4,17,6
UWP,June,0,0,0,38,6
GridInspector,June,1,14,0,0,6
OIP,June,0,0,0,2,6
GBE,May,50,0,14,65,5
UWP,May,0,0,0,46,5
MBA,May,2,0,0,0,5
ChatBot,May,2,0,1,64,5
GridForce,May,0,0,4,13,5
GridInspector,May,1,17,0,0,5
OMW,May,10,8,4,0,5
OIP,May,0,0,0,2,5
M360,May,20,2,0,7,5
GBE,April,59,0,17,76,4
UWP,April,0,0,0,53,4
MBA,April,3,0,0,0,4
ChatBot,April,3,0,1,74,4
GridForce,April,0,0,4,15,4
GridInspector,April,1,20,0,0,4
OMW,April,11,10,4,0,4
OIP,April,0,0,0,3,4
M360,April,24,3,0,8,4
M360,June,26,3,0,9,6
OMW,June,12,11,4,0,6
ChatBot,June,3,0,1,81,6
MBA,June,3,0,0,0,6
AMI,June,15,4,1,31,6
GBE,June,65,0,19,84,6
AMI,May,16,4,2,24,5
AMI,April,15,4,2,28,4
Total,June,125,40,29,284,6
Total,May,101,31,25,221,5
Total,April,116,36,28,258,4
