Portfolio,Project Name,Sprint,Committed,Completed,Start date,End date,Created,Resolved,Resovled Period
Customer,MBA-dotnet-apis,MBA PI3 Sprint 6,45,7,6/16/2022 19:44,6/30/2022 9:15,15,18,Apr-23
GridStack,Grid-Data-ops,GridData PI4 Sprint 1,25,15,6/30/2022 10:45,7/14/2022 10:02,84,65,Apr-23
GridStack,GridCLI,GridCLI PI4 Sprint 2,30,29,7/15/2022 9:19,7/28/2022 11:29,110,82,May-23
GridStack,GriddataAsset-Outage,GridDataAsset PI4 Sprint 3,17,26,7/28/2022 14:32,8/11/2022 9:16,53,45,Jun-23
GridStack,GridInit,GridInit PI4 Sprint 4,26,31,8/11/2022 9:18,8/25/2022 11:49,71,76,Jul-23
Customer,SendGrid-notifications,SendGrid PI4 Sprint 5,27,27,8/26/2022 10:12,9/9/2022 11:43,41,37,May-23
EBU,UWP-sendgrid-sapi,UWP PI4 Sprint 6,21,21,9/9/2022 11:44,9/22/2022 17:12,56,67,Apr-23
EBU,UWP2-billing-account,UWP2 PI4 Sprint 7,31,14,9/22/2022 17:13,10/7/2022 10:32,75,53,May-23
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
